x	y	total_counts
24x32	24	32	4171
25x17	25	17	251
25x18	25	18	376
25x19	25	19	392
25x20	25	20	320
25x21	25	21	484
25x22	25	22	976
25x23	25	23	1162
25x24	25	24	649
25x25	25	25	596
25x26	25	26	1104
25x27	25	27	2428
25x28	25	28	2227
25x29	25	29	1620
25x30	25	30	2244
25x31	25	31	3919
25x32	25	32	10705
26x17	26	17	240
26x18	26	18	518
26x19	26	19	371
26x20	26	20	440
26x21	26	21	428
26x22	26	22	1508
26x23	26	23	3438
26x24	26	24	3185
26x25	26	25	1815
26x26	26	26	1348
26x27	26	27	4007
26x28	26	28	2813
26x29	26	29	2172
26x30	26	30	2645
26x31	26	31	3061
27x18	27	18	248
27x19	27	19	293
27x20	27	20	565
27x21	27	21	3647
27x22	27	22	7242
27x23	27	23	3346
27x25	27	25	2056
27x26	27	26	1963
27x27	27	27	2044
27x28	27	28	3608
28x18	28	18	569
28x19	28	19	806
28x20	28	20	621
28x21	28	21	6312
28x22	28	22	6358
28x23	28	23	1452
28x25	28	25	1787
28x26	28	26	3346
29x19	29	19	2128
29x20	29	20	1298
29x21	29	21	2210
29x22	29	22	2760
29x23	29	23	1425
2x14	2	14	674
2x15	2	15	519
2x16	2	16	1453
2x17	2	17	5909
2x18	2	18	2446
30x20	30	20	1203
30x21	30	21	1083
30x22	30	22	4386
3x13	3	13	557
3x14	3	14	1098
3x15	3	15	177
3x16	3	16	885
3x17	3	17	1939
3x18	3	18	8984
4x10	4	10	599
4x11	4	11	1294
4x13	4	13	427
4x14	4	14	378
4x15	4	15	563
4x16	4	16	952
4x17	4	17	2742
4x8	4	8	3775
4x9	4	9	8851
5x10	5	10	3893
5x11	5	11	1351
5x13	5	13	482
5x14	5	14	813
5x15	5	15	635
5x16	5	16	1055
5x17	5	17	262
5x8	5	8	18291
5x9	5	9	6439
6x10	6	10	4834
6x11	6	11	2267
6x13	6	13	881
6x14	6	14	690
6x15	6	15	1180
6x16	6	16	1930
6x31	6	31	9718
6x32	6	32	4789
6x33	6	33	2704
6x9	6	9	4799
